numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
"Circular CS-43-2026, AS-38-2026",v1.0,Actualizan capital social mínimo de empresas corredoras de seguros y auxiliares de seguros para el año 2026,Circular,Vigente,SS,12/01/2026,09/01/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sxlXOeiOv3em+W/3kzqOxC1fbqDDucEqRgLbSxrk/DufD65yPuoEVby4vFSwv3R7EF1ADnyFWWr5vk74//1+tU
Resolución SBS N° 4320-2025,v1.0,"Modifica los Reglamentos de Gestión de Reclamos y Requerimientos y de Comisiones y Gastos del Sistema Financiero, y la Norma que regula los servicios que brinda la SBS a los ciudadanos y la atención de denuncias",Resolución,Vigente,"SF, SS, SPP",06/12/2025,04/12/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tc++IUihQS3qjMZWVxetHNiewwCYNGPeonLWGWT8IDf7j95ec1nxJNHPFJrSlKJQFMLlzCjqHGNu0ur+45ZVCD
Resolución SBS N° 4225-2025,v1.0,"Renominan el Título II, así como la Única Disposición Complementaria Final por Primera Disposición Complementaria Final, e incorporan el Capítulo V y la Segunda Disposición Complementaria Final al Título II del Compendio de Normas de Superintendencia Reglamentarias del SPP, aprobado por Resolución N° 054-98-EF/SAFP y sus modificatorias, referidas a las autorizaciones de organización y funcionamiento de las Administradoras Privadas de Fondos de Pensiones; y dictan otras disposiciones.",Resolución,Vigente,"SF, SS, SPP",27/11/2025,25/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sp1bzzovDsaZcxV0phb1zhYyKNKUk94CBxF1Pt76Vu4eL8KBHmdGAtG9gfMmoEimVHOn1MdRtb/lWaVQ8qzAvU1iK8dIFhTn7LUXpUz04BnQ==
Resolución SBS N° 04200-2025,v1.0,"Modifican el Reglamento para la Supervisión Consolidada de los Conglomerados Financieros y Mixtos, aprobado por la Res. SBS N° 11823- 2010 y sus modificatorias y TUPA N° 221",Resolución,Vigente,"SF, SS",26/11/2025,24/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uppq5jLSZdCO3NafM/pBgW7OHlW3r81ZgwxL2v8j5A20P4nZhp9LhwqZcSJ7de+ac+2zPaGlXV1aHA00vYtrJdYj33HiS37dzOqBv9BsIgoQ==
Resolución SBS N° 04142-2025,v1.0,Modifican el Reglamento para la Realización Temporal de Actividades en Modelos Novedosos y el TUPA N° 202.,Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT",24/11/2025,19/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6skIZXJhJKn8SgPSKWiPaWsAUGDbI9D+SG+My3HMuN7zIR5bZ5zUOZtvahOo8ExAV+/2XDS2ug8KmD9k+EaZsOMj+wPyuxO+tsPlYTqGlq6bQ==
Circular G-230-2025,v1.0,Actualización del capital social mínimo de las empresas supervisadas correspondiente al trimestre octubre - diciembre de 2025,Circular,Vigente,"SF, SS",15/10/2025,13/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tQyzNMPewWMFprlfzW9ZtOzaCJWULLcxtxCPE+bPboAmtp3UmWKSWRldtL8keZZzUuM4+7ySPqvZskzYEBRoqFQF7PBn7a9lT74y28hYHfzg==
Oficio Múltiple Nº 49566-2025-SBS,v1.0,Nuevos índices bursátiles de la Bolsa de Valores de Lima.,Oficio múltiple,Vigente,SS,,16/09/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6svKRsuQa2pHTCJm/aMBn2SQ6fX6wAc3mVu1xHik5A2X6gwatQjcWyV00UZV2dXcHRl0w2rRFmzT9lX9fmM0akZ/kYYG8fKGYp1E3i4036hag==
Circular G-229-2025,v1.0,Actualización del capital social mínimo de las empresas supervisadas correspondiente al trimestre julio - setiembre de 2025,Circular,Vigente,"SF, SS",09/07/2025,07/07/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uYrGN2P4PnuQ9DXTzGi8wzgjYjhYiNglC6y7JKahh7pQ5i+C8tAE1VPlLRzLVq1N7LY5LRwqn4qRH9EsQVPrhaPoTl3C6pqoRQ3e347IrMiQ==
Resolución SBS N° 2220-2025,v1.0,Prorrogan el plazo señalado en el literal f) del artículo sétimo de la Resolución SBS N° 2286-2024 sólo sobre el supuesto señalado en el literal b.2.); y el plazo de adecuación establecido en el literal g) del artículo sétimo de la Resolución SBS N° 2286-2024 sólo en lo referido al último párrafo del artículo 18° del Reglamento de Tarjetas de Crédito y Débito.,Resolución,Vigente,"SF, SS, SPP",25/06/2025,23/06/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6umdP+eT3eKpwm4VsWoZAyuiLWC0ce03ccZVRDdaIUTnfTmUi7nyApdFit+hHbljUVBfOvTvJ+tzW3Cow/jHTqnGPRNgVCcYvUrpEcpZy1XSg==
Resolución SBS N° 1660-2025,v1.0,"Aprobar el Reglamento de Gestión de Activos y Pasivos para Empresas de Seguros, modificar el Reglamento de las Inversiones de las Empresas de Seguros, el Reglamento de Constitución de Reservas Matemáticas de Seguros de Rentas y del Análisis de la Suficiencia de Activos, entre otros; y modificar el procedimiento TUPA N° 181 Autorización para incorporar otros flujos de activos en el Análisis de Suficiencia de Activos",Resolución,Vigente,SS,09/05/2025,06/05/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uH7fWTmk+ZoQ521aZZUt6J727NZ1Z2EvD9L5gatFxPRim5aoSiv1/88gNQXO6hRY+l1TGLTxXR8Qv6qrs5L7Otqk34Qtv/I4hmBqAxktjP4g==
