numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 4349-2016,v3.0,Norma sobre funciones y cargos ocupados por personas expuestas políticamente (PEP) en materia de prevención del lavado de activos y del financiamiento del terrorismo.,Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",14/08/2016,11/08/2016,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervqV15oZhwbMvNXQ/NbYt+3WITqc9u87gvDZxWgnNCxRU7PYkUvlvC8FEd3H1kNYovI21jU0ehkmVsH6n9WXcVrWZYHtns5JF04f56f+5zx6txfv4/WFYogouAtLBiM33eZ89eHnXTa1F6ISI4p9au21
Resolución SBS N° 3880-2016,v1.0,Modifican el artículo 4° de la Norma que regula el procedimiento de atención de las solicitudes de levantamiento del secreto bancario aprobada por Res. SBS N° 1132-2015,Resolución,Vigente,"SF, LA/FT_SBS",18/07/2016,14/07/2016,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervrBGP2u/+GBLpfnXKF/cq3lR0/UlBVk0uiVxUzIE+bI86nW/KayOaVjcLS8fmH2vb45xWS1Fv++a0zXXepCWMaX
Resolución SBS N° 3862-2016,v3.0,"Aprueban Norma que regula los mecanismos y procedimientos para que la UIF - Perú congele administrativamente los fondos u otros activos de las personas o entidades vinculadas al terrorismo y al financiamiento del terrorismo, así como de aquellas vinculadas a la proliferación de armas de destrucción masiva y su financiamiento, identificadas en el marco de las Resoluciones del Consejo de Seguridad de las Naciones Unidas.",Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS, LA/FT_UIF, LA/FT_otros",16/07/2016,13/07/2016,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervryxyNwRDa3M09O1sydkttH22jW/PVmBjwEn6ibb6eQs7irXO35XssKZKJraBaDtsH0cMLoqPY/I1PCnda60Fu48xAItSLRKUt93nqDAvoSiA==
Resolución SBS N° 4623-2015.,v1.0,"Modificación de procedimientos administrativos N°s 138 y 140 del TUPA de la SBS, relativos a solicitudes de designación de Oficiales de Cumplimiento.",Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS, LA/FT_otros",14/08/2015,12/08/2015,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervqsLiQOUea3JquoLCwQES2wxqApccAAWq3o0Tty+v81Y2HVMg2IgVw0QXFFfs6SEYj6lazOb+dBiEogAeyAzA1X
Resolución SBS N° 2940-2015,v1.0,"Incorpora infracción en la Sección II ""Infracciones Graves"" del Anexo 2 ""infracciones específicas del Sistema Financiero y de las Empresas de Servicios Complementarios y Conexos"" del Reglamento de Sanciones aprobado por la Resolución SBS N° 816-2015.",Resolución,Vigente,"SF, LA/FT_SBS",30/05/2015,26/05/2015,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervoN05LV8OaBZ+G5fYd0UPB3R1b9wfXKMgEC64c5eikF5rK1/qblcEsfkagqkh3tOuvKpMciUW2p/n/64xIvJPGL
Resolución SBS N° 2660-2015,v5.0,Reglamento de Gestión de Riesgos de Lavado de Activos y del Financiamiento del Terrorismo (Ver plazos de adecuación establecidos en el artículo 2° de la Resolución SBS N° 4705-2017 ),Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",18/05/2015,14/05/2015,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervr03LPtWW0XleQXwu/6CZonP7AMusrCRK+BGn2afHwVGxl76r1CAIuvKCcYqOX+Ddm5uESy2NsUi4WGkZazs43ZTYg4FwPPH3U1j2709QvDyg==
Resolución SBS N° 1132-2015,v5.0,Norma que regula el procedimiento de atención de las solicitudes de levantamiento del secreto bancario,Resolución,Vigente,"SF, LA/FT_SBS",16/02/2015,12/02/2015,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervrGF5BkNP+YREWM95VDHmjXh5F/qyfqBMa4Ct8J5uFpT8RidcGgKf8+JSJzEAxIIsYsDulidP8zg/Jm76h7Kg4XVJBBMqkY7vAOd+Bno+Nynw==
Resolución SBS N° 289-2015.,v1.0,"Establecen medio electrónico a través del cual las empresas señaladas en los artículos 16° y 17° de la Ley N° 26702 y las Cooperativas de Ahorro y Crédito no autorizadas a operar con recursos del público, remitirán los informes semestrales del oficial de cumplimiento (ISOC) a la UIF-Perú.",Resolución,Vigente,"SF, SS, LA/FT_SBS",17/01/2015,14/01/2015,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervoykL1TPMwALMYEYwLVSNqi1HnhswQYq/oLdoLI2I9eQmqngKpY8lxRCcehvAJwtH0XYmyiyHXKEP1WX1JuyAUxwz7QmrlP9attglaPiYfShQ==
Resolución SBS N° 6414-2014,v3.0,Aprueban norma que establece los requisitos y características de los Reportes de Operaciones Sospechosas (ROS) que los organismos supervisores de los sujetos obligados a informar emitan a la UIF-Perú.,Resolución,Vigente,"LA/FT_SBS, LA/FT_superv",28/09/2014,26/09/2014,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervqs2tchsH1NoFVzNNXELDUV2J9vstcIiKz0T/bMlJK3/XiYdQRbR/aq3E2TGVtr2mm8921TeEECTftNHnoY1KUMuisCC4saBHEypHslLcxWhQ==
Resolución SBS N° 1214-2014,v1.0,Modifica el artículo 12A° de las Normas Complementarias para la Prevención del Lavado de Activos y del Financiamiento del Terrorismo.,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",28/02/2014,24/02/2014,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervqx/rkfrbpN84vddqky3M+iEguwulJku/p7iFUZPIgAQOpviQ4DLqiw+RRTkFEnstR+jTizuGq6blMFRKXENXpU9Lf87YUwYkIavx76Iewpig==
Resolución SBS N° 3091-2011,v1.0,Modifican Reglamento de Infracciones y Sanciones en materia de prevención de lavado de activos y de financiamiento de terrorismo aprobado por Resolución SBS N° 1782-2007 y el Anexo I del Reglamento de Sanciones aprobado mediante Resolución SBS N° 816-2005.,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",18/03/2011,15/03/2011,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66AEoXqganhz45SnR9qdBiDIFBEC5GpJNwx9715tz9qCqU2xlQVvrP5tGMoY7jKMfOjtBl3Y8goMAbpjXyFWjy+tUKCfAqp3Sus5kHxTqlpUDdOEiccKuCNe/rdVSCOSnfw==
Resolución SBS N° 17025-2010,v1.0,Aprueba el Reglamento del Registro de Sociedades de Auditoría Externa,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",15/12/2010,10/12/2010,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66CbDc21bQWqfe7DYRktqx2SnK384RfMyEMFKQNdL6UK2eKDrY5BaQT8AwUnXAZs8YboKmgGROV6qsfpj4nhNaWMVQruSkcNXTOjVQPUk3LsyOIFEwmgCg/sSnKWi+aW+Zg==
Resolución SBS N° 17026-2010,v15.0,Aprueba el Reglamento de Auditoría Externa (incluye anexos del Reglamento).,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",15/12/2010,10/12/2010,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66CbDc21bQWqfe7DYRktqx2QPRc7BSk08xlXjs3HGH5QB6soePgsbo/lZpGf3WgobuBtahYocdbDRR5A85GZTlo/6CUoO+YECcDvPru7SWJG8gkUyLiFXGZLYPDMEtAUuEQ==
Circular G-148-2010,v1.0,Establece prórroga para los primeros envíos del Registro de Operaciones (RO) y de la Relación de Operaciones en Efectivo del Registro de Operaciones (ROPE).,Circular,Vigente,"SF, SS, SPP, LA/FT_SBS",13/04/2010,12/04/2010,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervod5CMvMC0jNHzwUEVw66SQMJz64s7bHJ1PbkRkxN+NGuJwED23qnNbLbD1F6MsXJwVaB9p+qoLUk9uVSKXN7JE0EJc0dXvqhep/+Uj1vYn7g==
Circular G-145-2009,v1.0,Determina plazo para el envío del Registro de Operaciones (RO) y de la Relación de Operaciones en Efectivo del Registro de Operaciones (ROPE),Circular,Vigente,"SF, SS, SPP, LA/FT_SBS",30/12/2009,28/12/2009,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sG3C3cBJhrAr15o3V/bZrUY2hu5Mw8tpKqE8bVmBFuwvjXZC63/JMcGv0sL01NWpIvyNX8ln1M54Pj3zSA4euTShyjIX8rhYF5x8kl1JQ7Yg==
Resolución SBS N° 12565-2009,v1.0,Aprueba lineamientos para la difusión de las Resoluciones del Consejo de Seguridad de la Organización de las Naciones Unidas relativas a la prevención y supresión del financiamiento del terrorismo,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",10/09/2009,07/09/2009,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervp1feUtIB1OEIrK+k3r34ujcjsxywn2/7drUL4SneJ9nXv4+C+1Na1ee0+2ZKD+q4M5Eww8p11wtfhfODmKMm6eYDLLY0ezj9SU//EKAs0FFQ==
Resolución SBS N° 6561-2009,v1.0,Modifica las Normas Complementarias para la Prevención del Lavado de Activos y del Financiamiento del Terrorismo aprobadas por la Resolución SBS N° 838-2008.,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",26/06/2009,22/06/2009,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66MSMvjzdNs4+Jcmhb3kTVO93/HR5IfizbUYgTE4sVEZlHNGfJeDdMoTuCzHRfXPKsdYfCDdqgjO1w1RvCSfwEJXpuS21YBHsp6VMdqFZXlxKrWX+wBx00b70/9liHNUYDA==
Circular G-0131-2007,v1.0,Normas para la remisión de los informes semestrales del Oficial de Cumplimiento por medio del sistema ISOC,Circular,Vigente,"SF, SS, SPP, LA/FT_SBS",16/06/2007,13/06/2007,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sjdwwdj33WpBECTYF9WdlZoOIToddwXiIEHO0fzEyF8UdM7faGEfSSFmWq7WoYceEHIX8UnBEp9AC/pg2bOiK+JNk88emDHkuIhGAtLNT7yw==
Resolución SBS N° 816-2005,v19.0,Reglamento de Sanciones para entidades supervisadas [Solo Artículo 10 vigente],Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",06/06/2005,03/06/2005,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervpTeaEFa2oXQ09X+zzCIa/El0MgaGgAaiw6ksEzo3DLNkZweFZrmZaRXD8wnFBOJ5F/4/Cop3PsP3DS+ZsO2mcnQQQkvqxDH3LG0ead16DJYw==
