numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 4081-2025,v1.0,"Modifican el Título VI del Compendio de Normas de Superintendencia Reglamentarias del Sistema Privado de Administración de Fondos de Pensiones, referido a Inversiones",Resolución,Vigente,SPP,15/11/2025,13/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vSK7Tbr+44oLc8nGBmfDJ39sJk8u08n6DkYj0QqGzjYTvF6lFVdw4LOx+axUevKqhPDHDZq0UcFoaU3hXLE2RZODU3LN+tuKVW0ZJ//0vsrQ==
Resolución SBS N° 3763-2025,v1.0,"Renominan y modifican el ¿Procedimiento Operativo para disponer de hasta el 25% del Fondo de Pensiones de los afiliados del Sistema Privado de Pensiones destinado a la compra de un primer inmueble¿, aprobado por Resolución SBS N° 3663-2016",Resolución,Vigente,"SF, SPP, COOPAC",17/10/2025,16/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vOLfBAuLw5EBwLVXPPIGiyO/WtfF/ZkXXJiClVBzhi+uXSxKlDWF9eClIjSDrqx2Jewx1j5rsJpa8K8zNv9c4saumQ+sWIG9wlGUPrwlQGlg==
Resolución SBS N° 3444-2025,v1.0,"Aprueban el Procedimiento Operativo para el retiro extraordinario y facultativo de fondos en el Sistema Privado de Pensiones, establecido en la Ley N° 32445",Resolución,Vigente,SPP,28/09/2025,25/09/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tspEKKPJhvP9SRefSqf9BuI2AGbEc/vqCkEsVDJkzKe600cE1gqFY5Zyn4kBHqaShMmRkz0v5sxpLwmofZ8wuotxItUeygqo79pUoMd0jcBA==
Oficio Múltiple N° 35260-2025-SBS,v1.0,Sobre el proceso de disposición de hasta el 25% del fondo de pensiones de los afiliados del SPP,Oficio múltiple,Vigente,SPP,,04/07/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6u/abIVFkpA+ji3hweUOyjwWTYM/dPPFQpScFjwdemtYjP+L15quVFmWTd8MyKTLfgQYUFhLkGBDdgBqNVCb5v35ADuKDEQ4Bbsbgj2HAewnw==
Resolución SBS N° 2261-2025,v1.0,"Modifican el plazo de vigencia dispuesto en el Artículo Décimo de la Resolución SBS N° 1565-2025, para efectos de la implementación de las modificaciones que comprende a los Título IV y VII del Compendio de Normas de Superintendencia Reglamentarias del SPP y otros",Resolución,Vigente,SPP,27/06/2025,26/06/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uGP9f7kv0O/cjRXjRmmTN1ajDT5v+d9F5oiP4enEp2k3YCuhyMaJ5R5XlIVv0+32158jsce2tqQgDACZkI7BgMoZ0XQIP2jwiYswri8FoL6g==
Resolución SBS N° 2220-2025,v1.0,Prorrogan el plazo señalado en el literal f) del artículo sétimo de la Resolución SBS N° 2286-2024 sólo sobre el supuesto señalado en el literal b.2.); y el plazo de adecuación establecido en el literal g) del artículo sétimo de la Resolución SBS N° 2286-2024 sólo en lo referido al último párrafo del artículo 18° del Reglamento de Tarjetas de Crédito y Débito.,Resolución,Vigente,"SF, SS, SPP",25/06/2025,23/06/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6umdP+eT3eKpwm4VsWoZAyuiLWC0ce03ccZVRDdaIUTnfTmUi7nyApdFit+hHbljUVBfOvTvJ+tzW3Cow/jHTqnGPRNgVCcYvUrpEcpZy1XSg==
Resolución SBS N° 02148-2025,v1.0,Modifican Manual de Contabilidad para las Administradoras Privadas de Fondos de Pensiones con el fin de armonizar las disposiciones contables emitidas por la Superintendencia con los lineamientos establecidos en la Norma Internacional de Información Financiera (NIIF) N° 9 Instrumentos Financieros y la NIIF N° 13 Medición del Valor Razonable,Resolución,Vigente,SPP,20/06/2025,17/06/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v8XR0DNTkmLKhadqINGdqb4iaRMNA8RbIIENwhNDiFWnp0N2pLzDsKQ0mhjMX7LQJ6nb3dE17pa7FsKNvJDvEtCECHoiqJvAfWF9zbuM9+xg==
Resolución SBS N° 1565-2025,v2.0,"Modifican los Títulos IV y VII del Compendio de Normas de Superintendencia Reglamentarias del SPP, las Circulares N° AFP-139-2014 y N° AFP-079-2006, y dictan otras disposiciones",Resolución,Vigente,"SS, SPP",28/04/2025,24/04/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tMxDWi3gReh4kC7YB2K7JUbYoAUqt2nChFEMZPqf46yBLbUo8qtVKChX0EmhCTLt2+N90hpQpAudnols/aOBSF3DQv85Muuu2Dvvk/ocKzqA==
Resolución SBS N° 01132-2025,v1.0,"Modifican el Reglamento de Auditoría Interna, el Reglamento de Auditoría Interna para las Cooperativas de Ahorro y Crédito No Autorizadas a Operar con Recursos del Público y la Circular N° G-161-2012 67.",Resolución,Vigente,"SF, SS, SPP, COOPAC",26/03/2025,24/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v92hDDTNESSmP2qva2qzNfolMjTsaY/qm8vv6WJjuc8Vfmv0jsUjxsSOm+3+o+pxdefZ5wKA8KSa8Wnury7NGVaxggTvNZWIq9jzHx2s2pYQ==
Resolución SBS N° 01065-2025,v1.0,"Modifican los Manuales de Contabilidad para las Empresas del Sistema Financiero, las Administradoras Privadas de Fondos de Pensiones y las Carteras Administradas. Así como, las Normas Complementarias Aplicables a las Derramas y el Reglamento de Auditoría Externa, con la finalidad de dar disposiciones sobre la publicación de la memoria anual, estados financieros y otras disposiciones.",Resolución,Vigente,"SF, SPP, Otros",21/03/2025,18/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tK+3nEAq5LmwSK1+PEzxCwWxM/58ukDggyDt9HwPy6iVnhBRaq9vNu16EpcdLshIwUrEHfx7PnwOvWq5sU9e/0xLXo8lEkvyiMQH87l1S1hg==
