numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 01682-2026,v1.0,"Modifican el Reporte N° 1 y crean el nuevo Reporte N° 1-A en el Capítulo V del Manual de Contabilidad para las Empresas del Sistema Financiero; asimismo, se estandariza la aplicación de dichos formatos para las EEDE y ETF, y se incorpora como nuevos requerimientos para las AGD y ETCAN",Resolución,Vigente,"SF, Otros",26/06/2026,23/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sVItRu7f/r2FwvhR8awjRXGHtWNVo5GmoldWMNQiwl8Pttp4bx1W+3puWFppN/xw23lrtGkw3I7moT7tTOK2q9yJNL/IaxArG/HboDNKkHFA==
Resolución SBS N° 3424-2025,v1.0,Aprueban Reglamento de aspectos actuariales para las Cajas de Beneficios,Resolución,Vigente,Otros,29/09/2025,23/09/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6s9xCFIGuzHTgvREupZqe7UUvZr7XsKJYOAnu36VSugOShj2C2J5dVk8J2Zokpb35Mo37qITE5bvicOttc2/KgOZJy3erryrTk7ug7XzGzrgQ==
Resolución SBS N° 01065-2025,v1.0,"Modifican los Manuales de Contabilidad para las Empresas del Sistema Financiero, las Administradoras Privadas de Fondos de Pensiones y las Carteras Administradas. Así como, las Normas Complementarias Aplicables a las Derramas y el Reglamento de Auditoría Externa, con la finalidad de dar disposiciones sobre la publicación de la memoria anual, estados financieros y otras disposiciones.",Resolución,Vigente,"SF, SPP, Otros",21/03/2025,18/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tK+3nEAq5LmwSK1+PEzxCwWxM/58ukDggyDt9HwPy6iVnhBRaq9vNu16EpcdLshIwUrEHfx7PnwOvWq5sU9e/0xLXo8lEkvyiMQH87l1S1hg==
Resolución SBS Nº 02738-2023,v1.0,Normas Complementarias Aplicables a las Derramas,Resolución,Vigente,Otros,22/08/2023,18/08/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uwVqQXeuN9tgsOX5sIMGCdRjAAL6cSmFUq3bXXUTKzfeNlq8KPtzVYkvZuMpqIbtV0pL9OZW8GmWabtwx/XMx3o36waKQQwlPxFmvJmZITXS2euziKX3lywMvvPYznOHk=
Resolución SBS N° 4610-2019,v1.0,"Resolución que modifica el Reglamento para la Reestructuración, Repotenciación, Disolución y Liquidación de las Derramas, Cajas de Beneficios y otros fondos que reciban recursos de sus afiliados otorguen pensiones de cesantía, jubilación y similares, que se encuentran sometidas a la supervisión y control de la SBS",Resolución,Vigente,"SF, Otros",09/10/2019,03/10/2019,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervp5mKTsrovY9Z7G84mZ3MJzb/CV9PcRhc7/25hDlfMOcrMi9qA/y7C6fmf+OSvpHewXjTRlG38SEb/UPiliRNZVattBdMshoqZj7azleyFRfg==
Resolución SBS N° 1361-2019,v1.0,"Modificación del Reglamento para la Reestructuración, Repotenciación, Disolución y Liquidación de las Derramas, Cajas de Beneficios y otros fondos que reciban recursos de sus afiliados y otorguen pensiones de cesantía, jubilación y similares, que se encuentran sometidas a la supervisión y control de la SBS.",Resolución,Vigente,"SS, Otros",30/03/2019,29/03/2019,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervqbl1ZOK06SyqmD2knl2pE/Q7QU+sEtMtTls2tVpQDuiAKrnJcKj7/v3lTxO2W3vpBmLr8DojvVqiBfQy+vLtdk
Resolución SBS N° 8504-2010,v4.0,"Reglamento para la Reestructuración, Repotenciación, Disolución y Liquidación de las Derramas, Cajas de Beneficios y otros fondos que reciban recursos de sus afiliados y otorguen pensiones de cesantía, jubilación y similares",Resolución,Vigente,"SS, Otros",07/08/2010,06/08/2010,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66D76rxzwG9zd1QKRdnkprJx1U51AUMH6t6VXPWZQWhY9YsHZ1N8y3YgvLxqf0dmfI8pVw9iffJddTi+7TmIrK8YNQM0k8srIUMxdyBr7OOAi1O/eq9G0HsfBvaOcZF1x/w==
