numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 1029-2026,v1.0,Modifican el Reglamento de Infracciones y Sanciones de la Superintendencia de Banca Seguros y Administradoras Privadas de Fondos de Pensiones.,Resolución,Vigente,"SF, SS, SPP, COOPAC, LA/FT_SBS",10/04/2026,08/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vJTDguJSaJkiOj1Y4yvEQV+VQ1PQuvvqxOFlb6HVGCmPUSTkxh6Che6kn7TPYq+TkIi7tJzhrIEdsYGIn0fBdFct3RJ6PzGHaCvqlGock84Q==
Circular G-232-2026,v1.0,Actualización del capital social mínimo correspondiente al trimestre abril - junio de 2026,Circular,Vigente,"SF, SS",09/04/2026,08/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tRywdZOkMNR4LJFOet3E8dBEAzC0rxd0TnLhv4rxdNsz7O7oZ6FuXmxf5TyVbx+FSVblRj1+Z1xdNImtN9JnUL9f0NPipqB37HXVd+0Bp3ug==
Resolución SBS N° 0879-2026,v1.0,"Modifican el Reglamento para la Supervisión Consolidada de los Conglomerados Financieros y Mixtos, aprobado por la Resolución SBS N° 11823-2010 y sus modificatorias",Resolución,Vigente,"SF, SS",25/03/2026,24/03/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vrfseCuBQVZcMGZuap9CBeIo5ct8WihOFb1DmL3rup0/414wWCT7nlM2sOt/Tnuud/ayQyCcpBlXSrFoPq09sv8CYzDD0Lk/8MTda0LpE58Q==
Resolución SBS N° 00874-2026,v1.0,"Modifican el Reglamento para la Gestión del Riesgo de Liquidez, aprobado por la Resolución SBS N° 4221-2023 y sus modificatorias",Resolución,Vigente,SF,26/03/2026,23/03/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uT7D6PSlSewp2EgVMWPK2soVHfyJN1sIZkPG9ygeZ1DgFZ1XLMSnGRBMI17Xlb4mjtKqkrt5s3UxpgZ+YnNs3eFkXRZpYMIJc5BmGpm8LNcw==
Resolución SBS N° 00771-2026,v1.0,Se amplía plazo señalado en la Resolución SBS N° 2286-2024 para implementar medidas de seguridad en operaciones con tarjetas de crédito,Resolución,Vigente,SF,18/03/2026,13/03/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sej7e/EDbKrIBxaI615Rm7Hq3zsf/175Sm9Gtk2JEOAw3XYrc3XXwJxxrU1/qjyC7uUAPX1e3802hoBBgSQpU/1thTbmmuoyrBGZshfzP+Ygvwl4m21g4UFygSSlyfbj0=
Resolución SBS N° 00704-2026,v1.0,"Modifican el artículo 5 del Reglamento de Operaciones con Dinero Electrónico, aprobado por la Resolución SBS N° 6283-2013 y el artículo 1 del Reglamento de Cuentas Básicas, aprobado por la Resolución SBS N° 2891-2018",Resolución,Vigente,SF,12/03/2026,10/03/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6t8NfEGw1DaWbWk1T334fCgvAtTukGFfKjmeacZD85aH53QhhR9ArApz/VWuGsl3Dio68LeW0duUrahlodqr4ijlTJZB1eJfVEm8HhNmBK8Xg==
"Circular B-2278-2026, F-616-2026, CM-465-2026, CR-332-2026",v1.0,Actualización del monto máximo de cobertura del Fondo de Seguro de Depósitos correspondiente al trimestre marzo 2026 - mayo 2026,Circular,Vigente,SF,06/03/2026,04/03/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vuTofWXNkGq4MBc0orsi0d6+5Dc7KExye0vrFTWDzMQFx+Urm/qyebUxOo4KqhFtQ6kUE38ghsR1F7DTIpFLNp6zSp7c5EOMZsSkeBsjM3+Q==
Resolución SBS N° 488-2026,v1.0,Modifican el Reglamento de autorización de empresas y representantes de los Sistemas Financiero y de Seguros.,Resolución,Vigente,"SF, SS",19/02/2026,18/02/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v7I0+z8OACgNHcUpGIQ11LricWc/d3eC9CGm6Um603NLbKyIc9CWW5bce8d69ZACWy2iO9gxetdEJF59BKny766vJwGcd5I/Vve/55UNbXDQ==
Resolución SBS N° 493-2026,v1.0,Modifica la entrada en vigencia de las definiciones de compromisos de las Res. SBS N° 04345-2023 y 04347-2024,Resolución,Vigente,SF,20/02/2026,18/02/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vMXbk2hu6foqOcDdGKWrkonPtQm1CVhA57e6sD7G7i2+5LdMjBiN4XU8Va83STJyUKAXQYOxvGObjhVhkbie/L9Pc9Sjzy8EodcuGL6yeX1g==
Oficio Múltiple N° 4498-2026-SBS,v1.0,Envío de Anexos del Reglamento de los Niveles de Calidad de los Servicios de Pago Interoperables (Circular N° 0009-2024-BCRP),Oficio múltiple,Vigente,SF,,22/01/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sfNvSdk6eab73B9z3bKh6YTRbMY++6ger51O3QrAmorK9BnWbhVTJoEhEIqZqYMty4/cDEpTmmSDlO29Y1B3K0WyXPhIzd6CA8JIkx2YDudQ==
